@relation bank-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last

@attribute age numeric
@attribute job_merged_values {admin._or_housemaid_or_management,blue-collar,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,retired_or_student_or_unknown}
@attribute marital_merged_values {divorced_or_single,married}
@attribute education_merged_values {primary_or_secondary_or_unknown,tertiary}
@attribute default_merged_values {no_or_yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact_merged_values {cellular_or_telephone,unknown}
@attribute day numeric
@attribute month_merged_values {apr_or_feb,aug_or_jan_or_jul_or_jun_or_nov,dec_or_mar_or_oct_or_sep,may}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {failure,other,success,unknown}
@attribute y {no,yes}

@data
37,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,2317,yes,no,cellular_or_telephone,20,apr_or_feb,114,1,152,2,failure,no
25,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,132,no,no,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,148,1,152,1,other,no
38,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,cellular_or_telephone,18,aug_or_jan_or_jul_or_jun_or_nov,96,2,-1,0,unknown,no
42,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,16,no,no,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,140,3,-1,0,unknown,no
44,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,106,no,no,unknown,12,aug_or_jan_or_jul_or_jun_or_nov,109,2,-1,0,unknown,no
44,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,93,no,no,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,125,2,-1,0,unknown,no
26,admin._or_housemaid_or_management,married,tertiary,no_or_yes,543,no,no,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,169,3,-1,0,unknown,no
41,admin._or_housemaid_or_management,married,tertiary,no_or_yes,5883,no,no,cellular_or_telephone,20,aug_or_jan_or_jul_or_jun_or_nov,182,2,-1,0,unknown,no
55,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
67,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,696,no,no,cellular_or_telephone,17,aug_or_jan_or_jul_or_jun_or_nov,119,1,105,2,failure,no
56,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,784,no,yes,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,149,2,-1,0,unknown,no
53,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,105,no,yes,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,74,2,-1,0,unknown,no
68,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,4189,no,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,897,2,-1,0,unknown,yes
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,171,no,no,cellular_or_telephone,27,aug_or_jan_or_jul_or_jun_or_nov,81,3,-1,0,unknown,no
59,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,42,no,no,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,40,1,-1,0,unknown,no
32,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,2536,yes,no,cellular_or_telephone,26,aug_or_jan_or_jul_or_jun_or_nov,958,6,-1,0,unknown,yes
49,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,1235,no,no,cellular_or_telephone,13,aug_or_jan_or_jul_or_jun_or_nov,354,3,-1,0,unknown,yes
42,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,no
78,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,229,no,no,cellular_or_telephone,22,dec_or_mar_or_oct_or_sep,97,1,-1,0,unknown,yes
32,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,2089,yes,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,132,1,-1,0,unknown,yes
33,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,3935,yes,no,cellular_or_telephone,6,may,765,1,342,2,failure,yes
23,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
38,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,11971,yes,no,unknown,17,aug_or_jan_or_jul_or_jun_or_nov,609,2,101,3,failure,no
36,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,553,no,no,cellular_or_telephone,11,aug_or_jan_or_jul_or_jun_or_nov,106,2,-1,0,unknown,no
52,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1117,yes,no,cellular_or_telephone,13,may,365,1,-1,0,unknown,no
32,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,396,yes,no,cellular_or_telephone,13,may,205,3,-1,0,unknown,no
32,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,2204,yes,no,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,11,4,-1,0,unknown,no
34,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no
55,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,145,no,no,cellular_or_telephone,2,apr_or_feb,59,3,5,2,other,no
26,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
32,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-849,yes,yes,cellular_or_telephone,4,apr_or_feb,204,1,-1,0,unknown,no
61,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,4629,yes,no,cellular_or_telephone,27,aug_or_jan_or_jul_or_jun_or_nov,181,1,92,1,success,yes
45,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,844,no,no,unknown,5,aug_or_jan_or_jul_or_jun_or_nov,1018,3,-1,0,unknown,yes
37,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,228,yes,no,cellular_or_telephone,20,aug_or_jan_or_jul_or_jun_or_nov,1740,2,-1,0,unknown,no
38,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,50,no,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,98,2,-1,0,unknown,no
34,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,1539,yes,no,cellular_or_telephone,15,aug_or_jan_or_jul_or_jun_or_nov,441,1,56,1,other,yes
53,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,2231,yes,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,272,3,-1,0,unknown,no
48,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,3064,yes,no,cellular_or_telephone,15,aug_or_jan_or_jul_or_jun_or_nov,159,2,-1,0,unknown,no
57,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,82,no,yes,cellular_or_telephone,4,apr_or_feb,140,1,-1,0,unknown,no
33,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,2155,no,no,cellular_or_telephone,17,aug_or_jan_or_jul_or_jun_or_nov,295,1,-1,0,unknown,no
36,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no
54,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no
41,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,-516,no,yes,cellular_or_telephone,8,aug_or_jan_or_jul_or_jun_or_nov,554,3,-1,0,unknown,no
63,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,415,yes,no,cellular_or_telephone,7,dec_or_mar_or_oct_or_sep,323,1,-1,0,unknown,no
48,admin._or_housemaid_or_management,married,tertiary,no_or_yes,5887,no,no,cellular_or_telephone,13,aug_or_jan_or_jul_or_jun_or_nov,227,2,-1,0,unknown,no
48,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,1355,no,no,cellular_or_telephone,4,aug_or_jan_or_jul_or_jun_or_nov,134,2,-1,0,unknown,no
56,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,16873,no,no,cellular_or_telephone,7,dec_or_mar_or_oct_or_sep,223,1,-1,0,unknown,no
51,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,203,yes,no,cellular_or_telephone,8,may,134,1,170,5,failure,no
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,338,yes,no,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,155,1,-1,0,unknown,no
29,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,444,yes,no,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,130,4,-1,0,unknown,no
41,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,0,no,yes,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,630,3,-1,0,unknown,no
32,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,360,no,no,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,164,2,-1,0,unknown,no
37,admin._or_housemaid_or_management,married,tertiary,no_or_yes,0,no,no,cellular_or_telephone,16,aug_or_jan_or_jul_or_jun_or_nov,268,2,182,3,success,yes
42,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
31,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
41,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,412,yes,no,unknown,3,aug_or_jan_or_jul_or_jun_or_nov,154,5,-1,0,unknown,no
56,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no
54,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,3222,no,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,67,2,-1,0,unknown,no
41,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,174,yes,no,cellular_or_telephone,14,may,367,2,297,1,other,no
40,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,591,no,yes,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,87,6,-1,0,unknown,no
50,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,388,no,no,cellular_or_telephone,5,apr_or_feb,701,1,-1,0,unknown,no
40,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,219,yes,no,cellular_or_telephone,17,aug_or_jan_or_jul_or_jun_or_nov,204,2,196,1,failure,no
27,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,451,yes,no,cellular_or_telephone,16,aug_or_jan_or_jul_or_jun_or_nov,652,1,-1,0,unknown,yes
60,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,5,no,no,cellular_or_telephone,26,aug_or_jan_or_jul_or_jun_or_nov,63,2,-1,0,unknown,no
28,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,177,yes,yes,cellular_or_telephone,6,may,150,1,-1,0,unknown,no
52,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,657,no,no,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,398,2,460,2,failure,yes
37,admin._or_housemaid_or_management,married,tertiary,no_or_yes,1315,no,no,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,224,1,-1,0,unknown,yes
51,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
41,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,879,no,yes,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,60,4,-1,0,unknown,no
35,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no
38,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,424,yes,no,cellular_or_telephone,17,apr_or_feb,279,1,-1,0,unknown,no
34,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no
39,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,111,no,no,cellular_or_telephone,18,aug_or_jan_or_jul_or_jun_or_nov,201,2,-1,0,unknown,no
34,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,455,yes,no,unknown,20,aug_or_jan_or_jul_or_jun_or_nov,372,3,-1,0,unknown,no
27,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-195,yes,no,cellular_or_telephone,18,may,391,1,-1,0,unknown,yes
32,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,3616,no,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,165,2,-1,0,unknown,no
57,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,14093,no,no,cellular_or_telephone,11,aug_or_jan_or_jul_or_jun_or_nov,231,5,-1,0,unknown,no
41,retired_or_student_or_unknown,divorced_or_single,tertiary,no_or_yes,1567,no,no,cellular_or_telephone,1,aug_or_jan_or_jul_or_jun_or_nov,291,2,-1,0,unknown,no
41,admin._or_housemaid_or_management,married,tertiary,no_or_yes,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
30,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,261,no,no,cellular_or_telephone,19,dec_or_mar_or_oct_or_sep,233,1,137,20,failure,no
36,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,2843,no,no,cellular_or_telephone,12,apr_or_feb,473,1,182,1,success,no
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,406,no,no,cellular_or_telephone,4,apr_or_feb,736,1,-1,0,unknown,yes
36,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
38,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,493,yes,no,cellular_or_telephone,11,may,553,1,367,7,failure,no
49,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,5996,no,no,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,345,2,-1,0,unknown,no
57,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,3777,yes,no,cellular_or_telephone,13,may,65,2,-1,0,unknown,no
34,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,524,no,no,unknown,13,aug_or_jan_or_jul_or_jun_or_nov,9,1,-1,0,unknown,no
32,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,574,yes,no,cellular_or_telephone,14,apr_or_feb,259,2,145,3,failure,no
37,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,427,yes,yes,unknown,9,aug_or_jan_or_jul_or_jun_or_nov,371,3,-1,0,unknown,no
33,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,483,yes,no,cellular_or_telephone,3,apr_or_feb,280,2,-1,0,unknown,no
56,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,3391,no,no,cellular_or_telephone,21,apr_or_feb,243,1,-1,0,unknown,yes
27,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,cellular_or_telephone,23,aug_or_jan_or_jul_or_jun_or_nov,435,3,-1,0,unknown,no
21,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,2488,no,no,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,258,6,169,3,success,yes
58,admin._or_housemaid_or_management,married,tertiary,no_or_yes,1517,yes,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,7,5,-1,0,unknown,no
32,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,217,yes,yes,cellular_or_telephone,15,aug_or_jan_or_jul_or_jun_or_nov,317,5,-1,0,unknown,no
33,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,22,no,no,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,76,2,207,1,failure,no
25,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,331,no,no,cellular_or_telephone,26,aug_or_jan_or_jul_or_jun_or_nov,170,4,-1,0,unknown,yes
25,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,505,no,yes,cellular_or_telephone,17,aug_or_jan_or_jul_or_jun_or_nov,386,2,-1,0,unknown,yes
30,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,1808,yes,no,cellular_or_telephone,18,may,83,2,-1,0,unknown,no
22,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,4111,no,yes,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,65,1,-1,0,unknown,no
39,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,52,no,no,cellular_or_telephone,13,aug_or_jan_or_jul_or_jun_or_nov,69,1,-1,0,unknown,no
46,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,25,no,no,unknown,17,aug_or_jan_or_jul_or_jun_or_nov,564,2,-1,0,unknown,no
31,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1890,yes,no,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,588,1,-1,0,unknown,no
45,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,419,no,no,cellular_or_telephone,18,aug_or_jan_or_jul_or_jun_or_nov,113,4,-1,0,unknown,no
32,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no
36,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,-231,no,yes,cellular_or_telephone,15,aug_or_jan_or_jul_or_jun_or_nov,779,2,-1,0,unknown,no
51,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,-55,yes,no,cellular_or_telephone,11,may,281,2,266,6,failure,no
34,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,462,no,no,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,1877,3,-1,0,unknown,yes
24,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,119,no,no,unknown,15,dec_or_mar_or_oct_or_sep,51,1,-1,0,unknown,no
45,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,586,no,yes,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,32,3,-1,0,unknown,no
32,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,228,no,no,cellular_or_telephone,5,apr_or_feb,176,1,288,3,failure,no
77,retired_or_student_or_unknown,divorced_or_single,tertiary,no_or_yes,4659,no,no,cellular_or_telephone,14,apr_or_feb,161,1,-1,0,unknown,yes
41,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,168,yes,no,cellular_or_telephone,18,aug_or_jan_or_jul_or_jun_or_nov,187,3,-1,0,unknown,no
37,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no
43,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no
48,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,cellular_or_telephone,8,may,85,1,168,2,failure,no
27,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no
33,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,0,no,no,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,236,10,-1,0,unknown,no
29,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,428,yes,yes,cellular_or_telephone,7,may,54,1,345,2,failure,no
34,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,0,no,no,cellular_or_telephone,5,apr_or_feb,71,1,-1,0,unknown,no
52,admin._or_housemaid_or_management,married,tertiary,no_or_yes,-970,yes,no,cellular_or_telephone,4,apr_or_feb,489,1,-1,0,unknown,yes
60,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,6313,no,no,unknown,19,aug_or_jan_or_jul_or_jun_or_nov,39,2,-1,0,unknown,no
32,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,948,no,no,cellular_or_telephone,12,aug_or_jan_or_jul_or_jun_or_nov,204,2,-1,0,unknown,no
32,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,0,yes,no,cellular_or_telephone,22,aug_or_jan_or_jul_or_jun_or_nov,455,2,-1,0,unknown,no
56,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no
31,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,874,yes,no,cellular_or_telephone,18,aug_or_jan_or_jul_or_jun_or_nov,190,2,-1,0,unknown,no
42,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
35,admin._or_housemaid_or_management,married,tertiary,no_or_yes,106,no,yes,cellular_or_telephone,11,aug_or_jan_or_jul_or_jun_or_nov,588,2,-1,0,unknown,no
